code,orderdate,customercode,type,paymentmethod
74,2023-04-05 22:10:03,1207,in-store,Cash
75,2023-04-09 01:22:17,250,online,CreditCard
76,2023-04-12 06:22:17,1048,in-store,PayPal
77,2023-04-12 17:37:03,838,online,Cash
78,2023-04-12 21:53:45,925,phone,Cash
79,2023-04-06 11:48:04,1166,phone,Cash
80,2023-04-12 23:15:13,1860,online,PayPal
81,2023-04-14 00:00:45,925,phone,CreditCard
82,2023-04-07 20:09:18,838,phone,PayPal
83,2023-04-05 21:46:03,857,phone,CreditCard
84,2023-04-11 09:54:15,1726,in-store,CreditCard
85,2023-04-11 19:53:50,1333,phone,Cash
86,2023-04-13 03:51:13,1070,in-store,Cash
87,2023-04-12 22:36:22,564,online,CreditCard
88,2023-04-02 03:29:26,786,in-store,PayPal
89,2023-04-06 08:52:53,1041,online,Cash
90,2023-04-08 10:22:18,1843,online,Cash
91,2023-04-04 13:27:57,470,phone,Cash
92,2023-04-05 10:11:01,668,in-store,CreditCard
93,2023-04-12 13:22:06,1941,in-store,PayPal
94,2023-04-11 12:03:05,395,online,Cash
95,2023-04-11 04:16:05,1761,online,Cash
96,2023-04-08 20:45:42,623,in-store,CreditCard
97,2023-04-03 03:13:50,778,in-store,PayPal
98,2023-04-09 06:18:38,546,phone,CreditCard
99,2023-04-08 16:05:29,916,in-store,Cash
100,2023-04-01 18:31:12,264,in-store,PayPal
101,2023-04-10 13:47:04,1711,in-store,CreditCard
102,2023-04-01 01:11:03,1838,in-store,PayPal
103,2023-04-12 20:33:15,905,online,PayPal
104,2023-04-09 10:26:54,813,phone,Cash
105,2023-04-06 13:34:34,520,phone,CreditCard
106,2023-04-14 03:56:03,1681,online,CreditCard
107,2023-04-14 13:51:09,497,online,PayPal
108,2023-04-14 13:55:19,1034,online,CreditCard
109,2023-04-07 10:49:23,413,online,PayPal
110,2023-04-06 06:22:36,1336,phone,PayPal
111,2023-04-07 05:28:32,845,online,CreditCard
112,2023-04-08 19:12:41,356,in-store,Cash
113,2023-04-13 15:00:08,370,in-store,Cash
114,2023-04-10 06:43:26,1767,online,CreditCard
115,2023-04-14 05:52:52,1364,phone,CreditCard
116,2023-04-12 01:56:59,285,online,CreditCard
117,2023-04-12 22:04:28,880,phone,PayPal
118,2023-04-10 12:15:28,1240,online,Cash
119,2023-04-07 02:59:23,1821,online,CreditCard
120,2023-04-12 22:50:03,349,in-store,Cash
121,2023-04-09 04:32:27,1931,in-store,Cash
122,2023-04-03 20:29:50,521,online,CreditCard
123,2023-04-08 17:15:00,969,phone,CreditCard
124,2023-04-12 19:01:06,1019,in-store,Cash
125,2023-04-12 06:30:44,226,in-store,Cash
126,2023-04-09 11:23:04,1550,online,CreditCard
127,2023-04-05 12:23:06,511,online,Cash
128,2023-04-08 18:45:58,1102,online,CreditCard
129,2023-04-01 03:03:42,843,in-store,PayPal
130,2023-04-13 18:06:14,223,online,Cash
131,2023-04-06 07:58:26,1548,online,CreditCard
132,2023-04-10 10:04:52,1367,in-store,CreditCard
133,2023-04-05 00:34:06,1733,online,Cash
134,2023-04-01 21:20:00,734,online,CreditCard
135,2023-04-03 19:58:32,378,phone,PayPal
136,2023-04-05 00:54:10,1950,online,Cash
137,2023-04-12 03:11:23,1084,online,CreditCard
138,2023-04-06 02:19:02,1181,online,Cash
139,2023-04-04 20:40:54,1202,online,PayPal
140,2023-04-10 06:22:45,949,online,Cash
141,2023-04-08 08:57:10,119,phone,CreditCard
142,2023-04-04 03:09:38,1837,phone,Cash
143,2023-04-07 14:22:41,1995,phone,PayPal
144,2023-04-03 09:56:16,157,phone,Cash
145,2023-04-02 11:44:10,141,online,PayPal
146,2023-04-10 23:41:20,1785,online,CreditCard
147,2023-04-02 06:13:16,845,in-store,PayPal
148,2023-04-07 18:31:16,1783,online,CreditCard
149,2023-04-02 11:31:20,1545,in-store,PayPal
150,2023-04-10 11:29:05,284,in-store,PayPal
151,2023-04-01 09:59:49,1271,in-store,CreditCard
152,2023-04-09 22:20:26,1201,phone,CreditCard
153,2023-04-05 04:26:39,842,online,Cash
154,2023-04-06 03:11:14,140,online,PayPal
155,2023-04-02 21:47:20,253,online,CreditCard
156,2023-04-13 21:26:33,1113,phone,CreditCard
157,2023-04-06 16:05:51,1536,phone,PayPal
158,2023-04-07 23:30:25,1733,online,PayPal
159,2023-04-08 01:33:05,943,online,Cash
160,2023-04-01 17:33:38,963,in-store,CreditCard
161,2023-04-12 01:29:43,996,online,PayPal
162,2023-04-14 01:17:41,765,online,Cash
163,2023-04-13 06:12:26,1914,online,PayPal
164,2023-04-09 22:47:04,1164,in-store,Cash
165,2023-04-11 03:15:47,155,online,Cash
166,2023-04-04 15:29:35,1530,in-store,PayPal
167,2023-04-07 08:21:06,1102,online,CreditCard
168,2023-04-12 10:39:59,1081,online,PayPal
169,2023-04-10 08:56:35,1578,online,PayPal
170,2023-04-06 08:48:23,524,phone,CreditCard
171,2023-04-08 16:36:35,343,phone,PayPal
172,2023-04-09 05:48:39,1020,online,PayPal
173,2023-04-07 07:19:17,1090,phone,CreditCard
174,2023-04-01 14:01:10,1199,in-store,CreditCard
175,2023-04-11 09:47:51,1872,online,Cash
176,2023-04-09 04:09:19,350,online,Cash
177,2023-04-06 14:00:59,1230,online,Cash
178,2023-04-06 18:01:23,623,in-store,PayPal
179,2023-04-10 03:25:34,1558,in-store,PayPal
180,2023-04-10 22:32:33,1294,phone,CreditCard
181,2023-04-03 01:53:47,1259,phone,PayPal
182,2023-04-12 13:18:48,754,online,PayPal
183,2023-04-11 04:27:35,1241,online,CreditCard
184,2023-04-11 08:35:38,1283,phone,CreditCard
185,2023-04-11 19:10:34,1089,online,CreditCard
186,2023-04-05 17:22:03,1193,phone,CreditCard
187,2023-04-05 19:32:32,302,in-store,PayPal
188,2023-04-09 01:15:17,1960,in-store,Cash
189,2023-04-04 12:57:53,1957,online,Cash
190,2023-04-11 03:37:46,773,phone,Cash
191,2023-04-08 00:40:36,1356,online,CreditCard
192,2023-04-08 19:01:04,257,online,CreditCard
193,2023-04-06 06:21:18,1062,phone,Cash
194,2023-04-12 10:51:02,1629,online,PayPal
195,2023-04-08 08:00:28,1133,in-store,Cash
196,2023-04-13 21:55:48,1153,online,Cash
197,2023-04-03 00:13:37,154,in-store,Cash
198,2023-04-07 06:05:31,674,phone,Cash
199,2023-04-08 21:03:24,521,online,PayPal
200,2023-04-02 10:10:44,1318,in-store,CreditCard
201,2023-04-13 23:53:04,735,in-store,CreditCard
202,2023-04-10 14:19:58,701,phone,CreditCard
203,2023-04-04 22:49:49,1699,in-store,Cash
204,2023-04-06 00:54:37,1973,in-store,PayPal
205,2023-04-07 23:42:17,393,online,PayPal
206,2023-04-01 17:52:08,303,online,CreditCard
207,2023-04-05 02:39:36,438,phone,PayPal
208,2023-04-13 03:20:38,1664,phone,CreditCard
209,2023-04-06 02:00:49,75,in-store,PayPal
210,2023-04-11 11:45:19,1058,in-store,Cash
211,2023-04-04 20:39:47,1666,phone,CreditCard
212,2023-04-04 09:49:27,1966,online,PayPal
213,2023-04-11 10:21:20,1938,in-store,CreditCard
214,2023-04-06 16:45:04,919,online,CreditCard
215,2023-04-11 00:49:56,917,online,CreditCard
216,2023-04-04 23:36:01,628,phone,CreditCard
217,2023-04-10 03:10:39,137,online,PayPal
218,2023-04-13 06:05:31,391,in-store,Cash
219,2023-04-08 21:02:21,996,phone,CreditCard
220,2023-04-11 14:43:45,914,online,CreditCard
221,2023-04-14 14:53:04,875,online,CreditCard
222,2023-04-09 10:25:32,770,online,PayPal
223,2023-04-11 16:50:01,251,online,Cash
224,2023-04-11 03:10:15,54,online,PayPal
225,2023-04-10 03:52:21,1740,in-store,CreditCard
226,2023-04-02 12:10:21,607,online,CreditCard
227,2023-04-09 13:12:56,833,online,PayPal
228,2023-04-13 02:12:02,303,phone,PayPal
229,2023-04-11 19:50:24,378,phone,PayPal
230,2023-04-07 10:23:09,551,in-store,Cash
231,2023-04-01 03:15:28,1862,in-store,CreditCard
232,2023-04-09 20:25:52,1392,in-store,Cash
233,2023-04-03 04:56:18,1686,in-store,PayPal
234,2023-04-10 21:25:32,1398,in-store,CreditCard
235,2023-04-10 03:54:05,1497,phone,Cash
236,2023-04-09 07:12:25,717,online,Cash
237,2023-04-06 02:39:49,1720,online,CreditCard
238,2023-04-02 00:56:28,1116,phone,CreditCard
239,2023-04-06 10:37:42,226,phone,Cash
240,2023-04-06 09:12:07,1089,in-store,CreditCard
241,2023-04-11 22:01:11,320,phone,PayPal
242,2023-04-01 17:48:21,1474,phone,Cash
243,2023-04-12 05:48:47,498,in-store,PayPal
244,2023-04-12 12:02:42,376,online,Cash
245,2023-04-11 18:40:49,1951,in-store,CreditCard
246,2023-04-08 07:44:55,661,phone,CreditCard
247,2023-04-07 05:03:44,1006,in-store,Cash
248,2023-04-13 21:37:09,566,phone,PayPal
249,2023-04-02 11:08:14,1727,phone,PayPal
250,2023-04-08 18:20:18,1180,phone,CreditCard
251,2023-04-08 18:03:59,992,online,Cash
252,2023-04-05 01:46:16,230,phone,Cash
253,2023-04-10 15:54:47,19,online,PayPal
254,2023-04-11 17:41:35,712,in-store,PayPal
255,2023-04-06 21:28:06,51,phone,PayPal
256,2023-04-04 22:50:45,348,online,Cash
257,2023-04-01 07:30:37,94,in-store,Cash
258,2023-04-12 04:44:34,179,online,CreditCard
259,2023-04-07 12:03:55,981,phone,PayPal
260,2023-04-12 11:53:15,1728,phone,PayPal
261,2023-04-11 14:01:34,1773,online,PayPal
262,2023-04-04 05:20:44,1048,phone,Cash
263,2023-04-12 15:09:35,410,online,PayPal
264,2023-04-11 21:05:55,771,online,Cash
265,2023-04-09 21:19:05,1617,in-store,Cash
266,2023-04-05 13:08:17,1492,online,PayPal
267,2023-04-10 09:40:28,217,phone,CreditCard
268,2023-04-11 05:44:40,1047,phone,CreditCard
269,2023-04-10 12:02:22,1241,phone,Cash
270,2023-04-01 19:25:34,1507,phone,CreditCard
271,2023-04-13 21:04:53,1240,online,CreditCard
272,2023-04-02 11:51:32,1658,phone,PayPal
273,2023-04-12 22:11:22,872,in-store,CreditCard
274,2023-04-10 07:22:02,1433,in-store,Cash
275,2023-04-11 16:03:25,624,in-store,CreditCard
276,2023-04-11 06:13:40,377,phone,Cash
277,2023-04-13 07:02:34,1402,online,Cash
278,2023-04-05 18:09:31,1872,online,Cash
279,2023-04-03 22:25:02,108,phone,PayPal
280,2023-04-01 02:03:07,997,phone,PayPal
281,2023-04-05 23:25:18,1706,in-store,CreditCard
282,2023-04-05 08:48:14,437,online,CreditCard
283,2023-04-05 19:31:24,1536,in-store,Cash
284,2023-04-02 11:35:55,1186,phone,CreditCard
285,2023-04-03 12:47:05,363,in-store,Cash
286,2023-04-06 22:00:06,896,in-store,PayPal
287,2023-04-09 09:27:58,126,phone,CreditCard
288,2023-04-03 03:43:33,1538,online,PayPal
289,2023-04-07 08:26:08,624,online,CreditCard
290,2023-04-11 17:08:53,770,phone,Cash
291,2023-04-09 08:41:13,1896,online,CreditCard
292,2023-04-10 16:29:31,900,online,PayPal
293,2023-04-09 14:11:47,1992,online,PayPal
294,2023-04-12 06:32:09,1110,phone,Cash
295,2023-04-07 08:03:20,537,phone,PayPal
296,2023-04-05 16:26:39,524,online,PayPal
297,2023-04-12 11:28:08,1664,online,PayPal
298,2023-04-09 23:48:45,1130,phone,PayPal
299,2023-04-14 06:12:06,524,phone,CreditCard
300,2023-04-06 03:15:02,906,in-store,PayPal
301,2023-04-11 04:32:20,1675,phone,CreditCard
302,2023-04-10 09:41:11,357,in-store,PayPal
303,2023-04-02 05:57:51,1614,phone,PayPal
304,2023-04-12 00:36:00,126,in-store,Cash
305,2023-04-08 03:30:36,1232,in-store,PayPal
306,2023-04-13 17:46:18,1149,online,PayPal
307,2023-04-08 14:41:48,1931,phone,PayPal
308,2023-04-05 04:19:42,1505,in-store,CreditCard
309,2023-04-08 07:38:12,1417,phone,Cash
310,2023-04-01 05:47:41,954,in-store,Cash
311,2023-04-02 14:10:17,1554,phone,CreditCard
312,2023-04-08 11:46:00,99,in-store,CreditCard
313,2023-04-08 22:41:23,1745,in-store,CreditCard
314,2023-04-04 03:02:15,1521,in-store,CreditCard
315,2023-04-08 08:27:58,1575,in-store,PayPal
316,2023-04-05 22:53:15,1341,in-store,CreditCard
317,2023-04-01 05:29:22,1584,phone,PayPal
318,2023-04-10 06:34:49,932,in-store,PayPal
319,2023-04-13 06:50:37,21,in-store,CreditCard
320,2023-04-12 03:52:38,36,in-store,PayPal
321,2023-04-08 01:46:24,1853,in-store,PayPal
322,2023-04-04 23:18:43,1408,phone,CreditCard
323,2023-04-01 08:41:28,1473,online,Cash
324,2023-04-12 13:33:19,335,online,CreditCard
325,2023-04-02 16:09:27,230,phone,Cash
326,2023-04-06 05:47:19,996,online,PayPal
327,2023-04-13 04:48:14,279,phone,CreditCard
328,2023-04-01 00:37:22,372,phone,PayPal
329,2023-04-01 05:33:26,1977,online,CreditCard
330,2023-04-09 01:00:03,1227,phone,CreditCard
331,2023-04-07 10:39:14,1020,online,Cash
332,2023-04-09 18:33:43,600,phone,Cash
333,2023-04-08 21:38:16,959,in-store,PayPal
334,2023-04-11 20:13:42,663,phone,Cash
335,2023-04-04 19:12:47,1456,phone,PayPal
336,2023-04-08 11:58:40,831,phone,CreditCard
337,2023-04-11 03:46:04,398,online,PayPal
338,2023-04-05 01:16:52,1531,phone,PayPal
339,2023-04-01 07:57:23,1092,online,Cash
340,2023-04-05 06:22:25,1766,in-store,CreditCard
341,2023-04-11 06:10:04,1226,phone,PayPal
342,2023-04-06 00:26:41,1794,online,CreditCard
343,2023-04-11 16:00:23,1177,online,CreditCard
344,2023-04-05 06:14:36,589,online,CreditCard
345,2023-04-13 14:20:42,202,phone,Cash
346,2023-04-10 13:11:32,1633,in-store,CreditCard
347,2023-04-09 21:58:23,1422,online,PayPal
348,2023-04-08 04:26:30,1173,online,Cash
349,2023-04-04 00:36:34,90,online,CreditCard
350,2023-04-09 01:05:23,1234,in-store,CreditCard
351,2023-04-10 15:08:49,828,online,Cash
352,2023-04-08 06:09:11,1462,in-store,PayPal
353,2023-04-10 19:25:01,1082,phone,PayPal
354,2023-04-06 13:58:07,1183,online,PayPal
355,2023-04-13 14:13:04,891,phone,CreditCard
356,2023-04-02 10:11:11,1365,in-store,PayPal
357,2023-04-04 21:49:48,1540,in-store,CreditCard
358,2023-04-04 03:25:54,25,in-store,CreditCard
359,2023-04-02 13:33:40,1964,in-store,PayPal
360,2023-04-01 02:16:35,1559,online,PayPal
361,2023-04-02 00:47:02,1923,phone,Cash
362,2023-04-13 13:19:53,1291,in-store,CreditCard
363,2023-04-13 00:55:20,292,phone,PayPal
364,2023-04-10 19:10:16,933,in-store,Cash
365,2023-04-07 01:15:33,1087,in-store,Cash
366,2023-04-02 14:26:56,655,phone,CreditCard
367,2023-04-09 10:00:24,1213,phone,Cash
368,2023-04-11 23:15:15,268,in-store,Cash
369,2023-04-03 23:26:41,1173,online,Cash
370,2023-04-09 21:20:21,1236,online,CreditCard
371,2023-04-12 04:18:48,88,in-store,Cash
372,2023-04-05 13:16:19,1927,phone,PayPal
373,2023-04-02 19:32:01,1349,phone,PayPal
374,2023-04-10 00:40:57,1856,in-store,Cash
375,2023-04-07 08:33:29,1391,online,PayPal
376,2023-04-05 14:21:33,1637,phone,CreditCard
377,2023-04-02 02:11:03,267,online,PayPal
378,2023-04-01 16:57:38,1492,in-store,PayPal
379,2023-04-04 02:47:21,1606,in-store,PayPal
380,2023-04-10 06:15:05,1055,phone,CreditCard
381,2023-04-07 21:32:08,651,in-store,CreditCard
382,2023-04-07 18:06:14,1681,phone,Cash
383,2023-04-05 14:51:06,812,phone,CreditCard
384,2023-04-13 15:31:00,867,in-store,CreditCard
385,2023-04-09 23:01:47,767,in-store,CreditCard
386,2023-04-12 09:04:31,1519,online,PayPal
387,2023-04-10 09:16:36,1094,online,CreditCard
388,2023-04-11 02:12:52,1902,in-store,Cash
389,2023-04-11 11:57:27,878,online,CreditCard
390,2023-04-02 17:46:37,1298,phone,Cash
391,2023-04-04 03:15:32,622,online,Cash
392,2023-04-11 17:26:40,171,online,Cash
393,2023-04-04 20:31:48,375,phone,Cash
394,2023-04-04 16:12:33,641,in-store,PayPal
395,2023-04-07 00:38:10,1724,online,PayPal
396,2023-04-10 14:50:59,526,online,Cash
397,2023-04-01 17:47:24,1818,online,Cash
398,2023-04-02 04:53:26,624,online,Cash
399,2023-04-12 22:33:28,131,phone,PayPal
400,2023-04-07 21:13:13,1612,phone,PayPal
401,2023-04-09 16:44:05,1107,online,CreditCard
402,2023-04-14 17:35:43,133,phone,PayPal
403,2023-04-10 20:36:57,942,in-store,CreditCard
404,2023-04-11 11:12:21,247,online,PayPal
405,2023-04-10 15:21:55,20,online,CreditCard
406,2023-04-11 04:09:13,586,in-store,Cash
407,2023-04-08 08:12:19,740,in-store,CreditCard
408,2023-04-05 02:30:48,712,in-store,PayPal
409,2023-04-14 06:23:05,611,phone,PayPal
410,2023-04-06 07:39:12,1198,online,CreditCard
411,2023-04-13 20:43:58,578,phone,CreditCard
412,2023-04-11 11:13:22,36,in-store,Cash
413,2023-04-03 19:24:02,1009,online,Cash
414,2023-04-11 16:04:23,451,online,CreditCard
415,2023-04-11 04:33:37,762,online,CreditCard
416,2023-04-12 19:00:13,1457,online,CreditCard
417,2023-04-10 00:18:04,312,in-store,Cash
418,2023-04-07 13:06:23,1323,in-store,CreditCard
419,2023-04-01 22:46:09,468,phone,CreditCard
420,2023-04-10 23:12:45,1827,in-store,CreditCard
421,2023-04-06 14:54:25,1047,phone,Cash
422,2023-04-05 11:23:18,584,phone,CreditCard
423,2023-04-09 18:56:08,899,online,CreditCard
424,2023-04-08 19:55:00,662,online,PayPal
425,2023-04-11 10:18:06,524,in-store,PayPal
426,2023-04-08 21:53:32,1392,in-store,CreditCard
427,2023-04-04 07:48:16,1564,online,Cash
428,2023-04-07 13:54:59,917,in-store,Cash
429,2023-04-05 04:43:00,1337,in-store,PayPal
430,2023-04-01 03:01:11,854,online,PayPal
431,2023-04-03 15:04:12,1042,in-store,Cash
432,2023-04-07 08:19:39,1500,in-store,CreditCard
433,2023-04-04 04:34:16,657,in-store,Cash
434,2023-04-13 16:59:25,1682,phone,PayPal
435,2023-04-12 01:13:16,848,in-store,PayPal
436,2023-04-06 07:48:43,588,in-store,CreditCard
437,2023-04-06 08:37:46,755,in-store,PayPal
438,2023-04-08 13:51:10,817,in-store,CreditCard
439,2023-04-05 10:54:11,782,online,PayPal
440,2023-04-06 21:24:30,717,online,Cash
441,2023-04-13 18:17:27,4,online,PayPal
442,2023-04-12 15:30:04,1995,online,PayPal
443,2023-04-07 15:14:48,1381,in-store,PayPal
444,2023-04-13 22:24:56,27,online,CreditCard
445,2023-04-04 03:42:49,1095,in-store,PayPal
446,2023-04-07 20:52:01,1470,phone,Cash
447,2023-04-13 06:57:00,1326,online,Cash
448,2023-04-01 17:22:03,1480,online,CreditCard
449,2023-04-05 10:04:06,160,phone,PayPal
450,2023-04-04 09:35:19,1915,online,Cash
451,2023-04-02 06:24:10,233,phone,PayPal
452,2023-04-08 18:40:01,802,in-store,CreditCard
453,2023-04-10 07:19:15,595,online,CreditCard
454,2023-04-04 07:28:31,904,phone,Cash
455,2023-04-09 07:34:16,1700,online,PayPal
456,2023-04-05 10:55:44,745,phone,CreditCard
457,2023-04-08 07:30:19,1783,phone,PayPal
458,2023-04-11 12:59:51,756,online,PayPal
459,2023-04-02 15:27:36,729,online,Cash
460,2023-04-01 22:53:33,648,phone,PayPal
461,2023-04-14 09:28:30,909,phone,Cash
462,2023-04-04 07:45:56,1121,phone,CreditCard
463,2023-04-04 01:04:24,384,phone,CreditCard
464,2023-04-08 02:56:40,1395,phone,Cash
465,2023-04-13 11:47:00,712,online,CreditCard
466,2023-04-04 05:25:52,331,phone,CreditCard
467,2023-04-13 01:14:08,1300,in-store,CreditCard
468,2023-04-08 02:43:29,949,in-store,CreditCard
469,2023-04-07 17:04:22,1652,online,PayPal
470,2023-04-02 10:39:01,1833,phone,CreditCard
471,2023-04-01 20:30:42,1480,online,Cash
472,2023-04-03 16:06:35,1743,phone,Cash
473,2023-04-10 09:37:55,1443,online,Cash
474,2023-04-09 01:34:44,1258,in-store,PayPal
475,2023-04-13 20:52:23,493,online,PayPal
476,2023-04-08 06:38:54,823,online,CreditCard
477,2023-04-11 19:10:35,787,online,CreditCard
478,2023-04-09 06:54:23,606,in-store,PayPal
479,2023-04-02 12:24:45,836,in-store,CreditCard
480,2023-04-03 10:15:09,1104,online,Cash
481,2023-04-06 04:22:19,690,in-store,CreditCard
482,2023-04-01 23:28:04,1926,phone,Cash
483,2023-04-11 04:20:08,1239,phone,CreditCard
484,2023-04-14 11:26:19,141,online,Cash
485,2023-04-10 19:13:00,970,online,Cash
486,2023-04-09 03:39:42,1492,in-store,CreditCard
487,2023-04-12 02:45:09,885,in-store,CreditCard
488,2023-04-14 14:15:42,944,phone,PayPal
489,2023-04-09 07:08:15,906,in-store,PayPal
490,2023-04-13 13:41:23,164,phone,Cash
491,2023-04-13 01:27:22,835,online,PayPal
492,2023-04-05 13:05:58,824,online,Cash
493,2023-04-09 19:58:11,903,online,PayPal
494,2023-04-09 19:55:45,434,phone,CreditCard
495,2023-04-04 21:01:18,367,phone,Cash
496,2023-04-03 12:32:08,379,in-store,PayPal
497,2023-04-02 14:09:42,937,online,CreditCard
498,2023-04-14 05:55:46,548,online,PayPal
499,2023-04-08 14:53:19,1454,in-store,PayPal
500,2023-04-02 23:36:21,1028,online,PayPal
501,2023-04-11 09:38:47,578,phone,PayPal
502,2023-04-06 06:56:08,1050,online,Cash
503,2023-04-08 16:05:52,500,online,Cash
504,2023-04-05 05:04:58,121,in-store,Cash
505,2023-04-07 20:45:46,1724,in-store,CreditCard
506,2023-04-04 14:59:42,1771,online,Cash
507,2023-04-06 14:27:18,588,in-store,CreditCard
508,2023-04-05 15:05:54,1751,online,CreditCard
509,2023-04-07 04:09:51,662,online,Cash
510,2023-04-13 15:47:21,1822,online,Cash
511,2023-04-14 06:28:13,702,in-store,PayPal
512,2023-04-08 00:45:51,442,phone,Cash
513,2023-04-10 07:34:18,1037,phone,PayPal
514,2023-04-08 03:58:14,406,in-store,PayPal
515,2023-04-13 06:58:18,1114,in-store,Cash
516,2023-04-12 08:56:49,560,in-store,PayPal
517,2023-04-10 08:22:06,1425,in-store,Cash
518,2023-04-03 21:14:28,1499,phone,Cash
519,2023-04-03 15:41:31,76,phone,Cash
520,2023-04-10 15:10:43,634,in-store,CreditCard
521,2023-04-12 07:29:38,909,in-store,Cash
522,2023-04-08 12:42:33,261,online,PayPal
523,2023-04-01 18:08:32,1219,phone,CreditCard
524,2023-04-05 19:10:46,412,online,CreditCard
525,2023-04-04 06:25:32,1112,online,Cash
526,2023-04-12 05:34:28,812,phone,Cash
527,2023-04-02 16:49:33,1132,phone,Cash
528,2023-04-06 20:35:32,1540,phone,PayPal
529,2023-04-10 21:54:18,1681,online,PayPal
530,2023-04-02 13:42:48,963,online,PayPal
531,2023-04-09 22:42:46,45,online,CreditCard
532,2023-04-05 03:50:42,1514,phone,PayPal
533,2023-04-06 20:41:32,1798,in-store,CreditCard
534,2023-04-03 09:54:41,1368,online,Cash
535,2023-04-14 08:16:48,1467,in-store,PayPal
536,2023-04-09 11:26:25,911,phone,Cash
537,2023-04-01 18:50:39,347,phone,CreditCard
538,2023-04-02 13:01:33,1369,in-store,CreditCard
539,2023-04-12 12:43:40,150,online,PayPal
540,2023-04-05 07:50:35,954,in-store,CreditCard
541,2023-04-01 06:45:41,1619,online,CreditCard
542,2023-04-09 20:55:31,1330,phone,CreditCard
543,2023-04-09 09:17:19,186,online,Cash
544,2023-04-13 12:47:50,822,phone,CreditCard
545,2023-04-06 20:43:17,430,online,PayPal
546,2023-04-01 02:59:57,1181,online,CreditCard
547,2023-04-11 16:37:47,68,online,CreditCard
548,2023-04-03 03:37:28,1133,in-store,CreditCard
