ordercode,productcode,quantity,discount
37,1355,5,0.09
37,606,9,0.06
37,1926,6,0.19
37,281,2,0.02
38,145,4,0.13
38,1331,8,0.13
38,507,5,0.12
38,1828,7,0.02
38,1523,1,0.16
39,616,5,0.05
39,738,10,0.16
39,64,8,0.17
39,312,7,0.03
39,45,3,0.16
39,1313,7,0.16
39,1451,1,0.14
39,333,2,0.16
39,1823,1,0.16
40,1292,10,0.13
40,1048,8,0.02
40,494,3,0.14
40,1707,5,0.16
40,1122,5,0.16
41,798,4,0.12
41,1072,3,0.08
41,1524,6,0.05
41,549,8,0.03
41,1569,9,0.11
41,1133,6,0.16
42,1291,5,0.08
42,1864,1,0.08
42,168,6,0.05
43,79,1,0.1
43,1063,1,0.13
43,1143,8,0.1
43,1882,10,0.13
44,1226,3,0.08
44,1452,7,0.0
44,156,4,0.04
44,871,6,0.13
44,148,6,0.04
44,578,8,0.19
44,1373,10,0.16
45,758,2,0.19
45,777,9,0.08
46,594,6,0.06
46,1821,3,0.04
47,106,9,0.17
47,874,4,0.15
47,1544,10,0.06
48,888,10,0.04
48,1389,8,0.19
48,1561,1,0.09
48,880,7,0.05
48,1615,4,0.11
48,1959,2,0.02
48,728,9,0.02
49,1766,6,0.08
49,1016,9,0.12
49,433,6,0.15
49,1435,4,0.0
50,759,6,0.09
50,217,3,0.0
50,1798,5,0.14
50,1203,3,0.13
50,883,1,0.18
50,1699,6,0.12
50,769,9,0.12
50,1027,5,0.18
50,1498,10,0.13
51,1963,5,0.16
51,1198,4,0.15
52,83,6,0.05
52,1243,7,0.11
52,24,10,0.16
52,1099,7,0.12
52,523,8,0.04
52,873,7,0.2
53,860,6,0.12
53,1780,7,0.11
53,1368,2,0.14
53,482,7,0.17
53,1297,6,0.14
53,165,8,0.14
53,130,8,0.17
53,1207,2,0.16
54,1392,10,0.06
54,22,10,0.02
54,1726,4,0.04
54,683,9,0.12
55,380,7,0.2
55,1142,1,0.11
55,113,5,0.02
56,1424,6,0.19
56,1359,10,0.08
56,353,7,0.19
56,452,9,0.12
56,213,8,0.03
56,1076,2,0.05
56,561,3,0.04
56,1613,2,0.15
56,1156,1,0.09
56,165,5,0.13
57,1360,10,0.19
57,1594,5,0.19
57,1333,3,0.03
57,1598,4,0.01
57,599,3,0.05
57,867,8,0.17
57,1891,8,0.13
57,1494,3,0.11
57,1756,7,0.02
58,1571,6,0.07
58,1216,7,0.14
58,484,9,0.16
58,1162,4,0.19
58,1914,10,0.02
59,1729,2,0.0
60,921,3,0.07
60,1311,9,0.02
60,23,6,0.05
60,1104,5,0.17
60,113,3,0.03
60,1121,9,0.15
61,1094,4,0.07
62,1367,1,0.13
62,1391,1,0.1
62,313,4,0.09
62,1917,4,0.12
62,1900,10,0.13
62,500,9,0.02
62,1181,8,0.17
62,1789,8,0.14
62,1919,8,0.02
63,1079,2,0.05
63,333,5,0.08
63,1662,2,0.08
63,891,5,0.13
64,1305,4,0.03
64,1186,5,0.04
64,834,5,0.07
64,1006,2,0.01
64,1078,7,0.11
64,1746,2,0.1
64,1957,7,0.19
65,1880,8,0.19
65,1965,7,0.1
65,1631,5,0.03
65,83,5,0.09
65,1098,2,0.0
66,579,10,0.15
66,1352,5,0.05
66,72,3,0.09
66,844,2,0.04
66,328,5,0.07
66,31,4,0.12
66,671,6,0.15
66,491,7,0.03
66,475,3,0.05
67,714,8,0.14
67,1170,4,0.07
67,11,1,0.04
67,1657,4,0.17
68,1209,7,0.19
69,443,8,0.19
70,344,3,0.08
70,91,7,0.05
70,162,3,0.16
70,1559,10,0.01
70,1486,2,0.02
70,703,6,0.03
70,1880,8,0.15
70,1571,3,0.07
71,1643,6,0.13
71,1101,3,0.09
71,1255,3,0.06
71,1881,9,0.02
71,443,5,0.04
71,1485,7,0.19
72,1557,10,0.05
72,476,6,0.01
72,566,6,0.02
72,611,3,0.12
72,456,5,0.01
72,1043,8,0.05
72,425,3,0.17
72,1565,8,0.15
72,530,5,0.17
73,348,1,0.11
73,1138,2,0.16
73,1630,1,0.06
73,1271,8,0.06
73,728,3,0.02
73,970,2,0.15
74,476,6,0.05
74,882,3,0.13
74,987,10,0.05
74,491,3,0.06
74,1519,1,0.18
74,1614,8,0.03
74,1387,5,0.02
74,1474,6,0.04
74,648,3,0.14
74,842,7,0.07
75,1294,2,0.19
75,706,3,0.19
75,1190,7,0.17
75,185,6,0.11
75,689,2,0.13
76,614,1,0.05
76,1331,3,0.02
76,486,9,0.12
76,1691,1,0.01
76,1132,3,0.18
76,1267,9,0.07
76,77,4,0.2
76,190,3,0.16
76,245,10,0.16
77,949,7,0.12
77,1558,9,0.0
77,627,6,0.06
78,369,8,0.2
79,1025,1,0.06
79,833,4,0.1
79,1169,3,0.11
79,78,9,0.0
79,993,10,0.06
79,98,1,0.19
79,94,9,0.1
79,1005,7,0.14
79,1661,2,0.09
79,745,6,0.15
80,1121,3,0.06
80,619,7,0.07
80,319,3,0.1
80,1929,2,0.01
81,341,3,0.13
81,750,2,0.02
81,53,2,0.07
81,948,6,0.15
81,330,8,0.0
82,485,8,0.12
82,1200,8,0.01
82,948,4,0.15
82,1415,7,0.13
82,671,2,0.0
82,1078,6,0.14
82,1278,9,0.16
82,997,6,0.11
82,161,9,0.02
83,841,8,0.0
83,480,5,0.05
83,532,3,0.04
83,634,3,0.12
83,261,3,0.05
83,992,8,0.16
83,1708,9,0.15
83,1032,6,0.12
83,1768,6,0.0
84,1455,3,0.07
85,1010,2,0.11
85,1487,4,0.12
85,82,6,0.16
85,1094,7,0.06
85,739,1,0.02
85,124,9,0.03
85,967,2,0.13
85,1541,1,0.08
85,1576,5,0.16
86,249,9,0.13
86,164,2,0.06
86,1844,10,0.02
87,1882,9,0.01
87,217,6,0.15
87,757,9,0.09
87,1570,2,0.01
87,1083,5,0.07
88,1153,7,0.01
88,995,8,0.14
88,920,5,0.1
88,381,4,0.17
88,1529,9,0.11
88,1417,10,0.15
88,1245,2,0.13
88,947,2,0.1
88,409,9,0.17
88,1693,8,0.05
89,578,9,0.02
89,1703,9,0.19
89,1120,2,0.01
89,145,9,0.04
89,22,6,0.09
90,1584,3,0.05
90,1777,2,0.07
90,1511,3,0.03
90,412,2,0.04
90,1804,4,0.14
90,1116,9,0.05
90,693,10,0.14
91,1595,5,0.01
91,709,5,0.15
91,671,10,0.18
91,40,5,0.1
91,397,1,0.1
91,925,10,0.01
92,1925,8,0.16
92,615,7,0.05
92,1612,1,0.2
92,1730,1,0.18
92,172,4,0.06
92,840,2,0.16
92,1511,4,0.2
93,1918,4,0.01
93,795,3,0.13
93,1832,1,0.02
93,110,7,0.14
93,371,7,0.17
93,1044,7,0.19
93,1412,9,0.2
93,1796,2,0.02
94,970,5,0.11
94,236,1,0.18
95,1498,7,0.19
95,1912,2,0.09
95,1569,4,0.03
95,1383,5,0.19
95,1441,1,0.13
95,1631,2,0.03
95,516,6,0.01
95,1394,6,0.04
96,645,7,0.08
96,634,1,0.01
96,253,2,0.14
96,618,3,0.02
96,1029,4,0.18
97,1954,9,0.14
97,1665,1,0.15
97,1594,3,0.01
97,239,3,0.02
97,795,8,0.04
97,391,7,0.18
97,1653,4,0.0
98,1554,6,0.08
98,424,10,0.08
98,1160,6,0.2
98,1618,2,0.17
99,1200,2,0.2
99,79,9,0.11
99,1700,9,0.09
99,1967,2,0.0
99,482,7,0.12
99,202,6,0.14
99,1879,5,0.07
100,1089,2,0.2
100,1218,9,0.13
100,1223,3,0.04
100,350,4,0.01
100,1086,5,0.11
100,365,10,0.18
100,200,10,0.15
100,148,1,0.17
101,187,6,0.16
101,891,7,0.06
101,483,5,0.12
101,375,5,0.17
102,1135,2,0.01
102,1369,7,0.09
103,954,2,0.19
103,1650,7,0.17
103,1169,6,0.02
103,1815,4,0.11
103,281,3,0.02
104,997,2,0.03
104,602,8,0.03
104,152,8,0.08
105,966,7,0.03
105,1550,8,0.07
105,1699,7,0.11
105,1132,5,0.13
105,1211,4,0.16
105,1073,5,0.13
105,1338,8,0.18
105,1204,6,0.1
105,1162,10,0.19
105,1128,4,0.09
106,218,10,0.11
106,1688,1,0.07
106,1069,1,0.14
106,1775,10,0.15
106,631,10,0.02
106,1587,2,0.14
107,447,6,0.14
107,1101,5,0.16
107,164,9,0.0
107,833,5,0.19
107,734,2,0.03
107,1069,7,0.08
107,1093,5,0.07
107,1279,1,0.2
107,942,1,0.08
108,928,10,0.2
108,1101,6,0.17
108,1401,8,0.16
108,1355,2,0.03
108,1241,1,0.16
108,527,7,0.01
109,955,6,0.16
109,1774,8,0.05
109,522,6,0.1
109,1821,6,0.16
109,1836,2,0.17
109,1548,6,0.15
109,533,7,0.14
109,1318,2,0.14
110,1936,1,0.13
110,1175,4,0.19
110,1167,7,0.1
110,805,7,0.08
111,974,2,0.13
111,1597,7,0.0
111,15,6,0.14
111,1109,6,0.2
111,184,10,0.07
112,1899,5,0.01
112,1595,9,0.12
112,865,8,0.07
112,600,7,0.1
112,774,10,0.06
112,1823,3,0.08
112,1834,2,0.1
112,1210,7,0.13
112,1533,5,0.0
113,1085,3,0.07
113,1536,4,0.09
114,125,9,0.13
114,1687,6,0.11
114,1004,5,0.19
115,1364,6,0.2
115,1904,2,0.09
115,1096,5,0.18
115,735,10,0.13
115,210,4,0.15
115,906,3,0.15
115,1474,3,0.12
115,1684,2,0.19
115,1093,7,0.16
115,1907,7,0.07
116,690,5,0.07
116,1100,5,0.17
116,476,10,0.07
116,1131,8,0.13
116,1899,7,0.14
117,1103,9,0.17
117,1801,6,0.16
117,659,6,0.0
117,1093,3,0.16
118,683,3,0.19
118,955,4,0.14
118,1944,5,0.12
118,503,8,0.07
118,1050,2,0.12
118,769,10,0.17
118,141,2,0.19
118,43,9,0.1
119,1800,6,0.11
119,1512,6,0.19
119,1423,4,0.2
119,959,3,0.11
119,1872,1,0.07
119,295,3,0.03
119,1089,8,0.15
119,1564,3,0.03
119,404,2,0.12
119,1165,9,0.04
120,930,10,0.16
120,52,2,0.13
120,460,9,0.0
120,449,7,0.09
120,1314,1,0.0
120,1472,10,0.13
120,320,8,0.06
121,1759,5,0.18
122,1618,8,0.09
122,1217,9,0.03
122,686,3,0.16
122,1043,10,0.12
122,635,2,0.1
122,144,4,0.08
122,1658,2,0.09
123,1844,9,0.12
123,105,9,0.16
123,374,9,0.06
123,461,4,0.09
123,544,4,0.03
123,192,10,0.08
123,271,8,0.19
124,462,4,0.1
124,1749,5,0.01
124,1970,10,0.17
124,118,2,0.2
125,1247,8,0.18
125,536,6,0.1
125,706,10,0.06
125,545,10,0.06
126,1088,7,0.18
126,688,5,0.04
126,41,1,0.05
126,621,2,0.2
126,809,1,0.0
127,917,10,0.04
127,1801,4,0.14
127,1208,1,0.1
127,742,10,0.1
127,550,8,0.08
127,1591,4,0.02
127,1322,10,0.2
128,1034,1,0.0
128,1571,3,0.02
129,132,7,0.01
129,1118,5,0.14
129,724,9,0.14
129,95,10,0.16
129,1492,7,0.1
129,1827,3,0.05
129,1064,8,0.17
129,1763,7,0.07
129,933,3,0.03
130,619,9,0.13
130,1942,4,0.14
130,1472,6,0.07
130,230,7,0.02
130,1052,9,0.11
130,1718,1,0.08
130,1898,9,0.16
130,556,3,0.1
130,1608,1,0.08
130,1196,4,0.1
131,1520,3,0.1
131,187,9,0.16
131,1346,6,0.07
131,1472,5,0.05
131,1142,1,0.12
131,1787,8,0.04
131,502,8,0.16
132,216,10,0.15
132,442,6,0.17
132,1177,6,0.18
132,545,4,0.02
132,105,10,0.02
132,638,2,0.15
132,342,8,0.12
132,138,3,0.09
132,1180,3,0.11
133,1649,4,0.12
134,1708,1,0.09
134,1769,7,0.09
134,1726,8,0.02
134,1210,9,0.15
134,1276,8,0.01
134,490,6,0.01
134,687,9,0.03
134,1029,9,0.18
134,345,8,0.2
134,1195,2,0.07
135,1552,3,0.01
135,571,2,0.16
135,789,9,0.18
135,892,7,0.18
135,528,3,0.2
135,287,4,0.02
136,828,5,0.15
136,697,8,0.18
136,141,1,0.01
136,638,6,0.13
136,1155,3,0.12
136,963,1,0.18
136,16,9,0.04
137,1437,4,0.15
138,1590,3,0.08
138,1356,2,0.04
138,1458,6,0.06
138,1808,2,0.19
138,1548,4,0.02
138,632,1,0.08
139,1454,9,0.05
139,860,10,0.18
139,604,3,0.17
140,1558,4,0.18
140,564,5,0.03
140,1324,9,0.19
141,844,5,0.18
141,91,8,0.02
141,210,10,0.08
141,418,3,0.19
141,762,2,0.07
141,880,6,0.16
141,169,8,0.01
141,321,5,0.16
141,1917,4,0.03
141,722,3,0.18
142,1597,3,0.18
142,885,8,0.11
142,545,10,0.12
143,161,8,0.03
143,1724,9,0.13
143,1678,9,0.03
143,1030,3,0.14
143,1217,6,0.12
143,1027,8,0.15
144,88,7,0.05
144,723,2,0.08
144,1606,10,0.16
144,732,5,0.02
144,914,2,0.06
144,1851,8,0.19
144,866,3,0.13
144,1676,6,0.09
144,1325,9,0.12
144,95,9,0.14
145,541,2,0.19
145,1957,1,0.08
146,615,3,0.13
147,755,7,0.08
147,876,3,0.04
147,1057,7,0.19
147,1934,1,0.03
147,126,7,0.05
147,1662,2,0.13
147,1228,7,0.1
147,1028,2,0.19
148,1628,5,0.09
148,489,5,0.05
148,1644,9,0.1
148,1274,9,0.03
148,1223,6,0.07
148,1446,9,0.05
148,91,10,0.16
148,1644,1,0.09
148,973,8,0.19
148,1695,6,0.08
149,354,6,0.1
149,1298,4,0.03
149,1305,6,0.05
149,156,5,0.08
149,993,6,0.04
149,1318,10,0.07
149,1666,4,0.19
149,787,1,0.07
149,83,3,0.11
150,1083,4,0.0
150,1209,4,0.16
150,1666,3,0.18
150,691,7,0.01
150,1749,10,0.06
150,759,9,0.04
150,896,6,0.07
150,458,5,0.06
150,191,6,0.17
151,1945,3,0.17
151,464,10,0.14
151,1101,1,0.06
151,1970,1,0.04
151,28,2,0.02
151,1200,2,0.02
152,426,8,0.13
152,457,10,0.12
152,772,2,0.03
152,1861,6,0.12
152,993,3,0.19
152,202,6,0.1
153,1454,9,0.02
153,542,6,0.05
153,1626,1,0.09
153,493,8,0.07
153,852,9,0.12
153,620,7,0.14
153,823,10,0.1
154,1291,1,0.1
154,1978,10,0.14
154,1184,9,0.06
155,1926,5,0.18
155,868,6,0.03
155,929,7,0.14
155,596,3,0.04
155,1192,9,0.12
155,1987,6,0.18
155,565,2,0.06
155,881,6,0.18
155,1949,3,0.0
155,185,5,0.07
156,985,9,0.02
156,315,6,0.02
156,373,1,0.14
157,1320,7,0.18
157,337,4,0.04
157,809,1,0.04
157,1435,8,0.01
157,1652,7,0.07
157,603,3,0.08
158,1648,1,0.19
158,1808,5,0.09
158,1975,9,0.17
158,69,1,0.04
158,503,8,0.0
158,89,7,0.02
158,123,8,0.07
159,846,9,0.19
160,1309,6,0.11
161,1513,5,0.03
161,1979,5,0.17
161,1031,10,0.17
161,1423,10,0.15
161,63,9,0.15
161,1479,8,0.1
161,936,8,0.03
161,1528,4,0.11
161,10,5,0.01
162,1801,6,0.16
163,1843,3,0.01
163,1098,6,0.19
163,1250,3,0.06
163,897,4,0.15
163,693,6,0.15
163,980,4,0.05
163,636,8,0.11
163,1077,9,0.15
164,1566,9,0.05
164,299,3,0.15
164,1880,9,0.01
164,1332,2,0.08
164,9,7,0.09
164,1752,5,0.08
164,1878,4,0.1
164,1948,4,0.05
164,606,8,0.03
165,11,3,0.07
165,342,4,0.11
165,1225,1,0.1
165,1839,3,0.2
165,70,10,0.06
165,1924,9,0.19
166,320,10,0.13
166,369,10,0.05
166,956,3,0.09
166,1973,5,0.09
166,239,10,0.0
166,206,6,0.13
166,515,3,0.11
166,1449,3,0.02
166,1016,5,0.04
166,576,8,0.17
167,84,5,0.09
167,1027,3,0.06
168,1454,5,0.01
168,1346,3,0.08
168,1265,10,0.19
168,1587,8,0.13
168,281,6,0.02
168,1370,2,0.1
168,1044,3,0.18
168,713,5,0.13
168,1506,7,0.15
168,61,6,0.16
169,698,1,0.13
169,325,8,0.1
169,284,3,0.03
169,1161,5,0.01
169,1699,8,0.01
169,430,7,0.01
169,1781,5,0.06
169,1479,6,0.17
170,796,6,0.08
170,1625,2,0.05
170,1289,8,0.19
170,1921,5,0.08
170,628,2,0.05
170,602,10,0.05
171,485,2,0.03
171,1026,6,0.11
171,1433,6,0.04
171,1592,2,0.07
171,1214,10,0.08
171,716,7,0.13
172,122,2,0.05
172,548,2,0.15
172,1999,2,0.19
172,951,2,0.13
172,309,8,0.1
172,78,5,0.15
173,1031,10,0.16
173,1626,10,0.05
173,486,3,0.07
173,348,5,0.02
174,557,1,0.16
174,1186,9,0.11
174,1231,5,0.13
174,1956,6,0.08
174,1197,7,0.03
174,770,4,0.15
174,1835,1,0.14
174,1427,6,0.18
175,756,9,0.09
175,632,2,0.05
175,405,7,0.02
175,122,2,0.05
176,1296,1,0.1
176,586,9,0.07
176,1760,2,0.02
176,75,6,0.07
176,583,8,0.18
176,1481,5,0.03
177,213,3,0.05
177,974,2,0.13
177,364,9,0.19
177,320,8,0.02
178,599,7,0.04
178,1111,4,0.13
178,841,6,0.09
178,1369,10,0.13
178,873,8,0.17
179,190,3,0.11
179,1519,9,0.06
179,1407,1,0.13
179,903,4,0.19
179,424,3,0.18
179,856,4,0.13
179,1493,6,0.15
179,731,8,0.14
179,524,10,0.15
180,903,7,0.13
180,225,3,0.1
180,1411,2,0.13
180,374,9,0.14
181,1350,3,0.16
181,1345,2,0.0
181,975,4,0.19
181,1405,8,0.16
181,1470,7,0.01
181,317,9,0.05
182,129,7,0.02
182,724,4,0.17
182,910,10,0.06
182,1778,6,0.04
182,1657,10,0.13
182,1123,2,0.03
182,1412,4,0.0
182,1955,7,0.19
182,1628,1,0.03
183,942,9,0.12
183,1722,10,0.18
183,856,8,0.15
183,1412,5,0.18
183,1707,7,0.04
183,826,8,0.19
183,587,9,0.15
183,1359,10,0.16
183,1890,1,0.08
183,1391,2,0.07
184,231,5,0.17
184,1533,4,0.14
184,1805,8,0.03
184,589,7,0.07
184,1746,10,0.11
184,1815,10,0.18
184,673,9,0.06
185,1398,2,0.2
185,550,10,0.09
185,180,5,0.16
185,1819,2,0.06
186,752,6,0.01
186,1511,8,0.17
186,1839,9,0.09
187,1296,5,0.07
187,1170,5,0.17
187,283,5,0.08
187,599,5,0.07
187,702,2,0.1
187,777,1,0.1
188,1991,10,0.11
188,1401,2,0.19
188,1524,5,0.19
188,1493,7,0.15
188,1866,4,0.01
189,1880,3,0.11
189,1886,5,0.19
189,1649,6,0.12
189,79,7,0.02
189,403,10,0.06
190,1428,5,0.13
190,1152,5,0.04
191,1349,4,0.15
191,1449,3,0.04
191,1622,9,0.01
191,1477,1,0.18
191,970,3,0.1
191,1174,1,0.09
191,952,5,0.17
191,1506,5,0.14
191,253,5,0.15
192,1401,1,0.17
193,1673,3,0.04
193,482,9,0.03
193,60,9,0.06
193,284,5,0.05
193,1996,8,0.04
194,785,10,0.17
194,1370,4,0.12
194,1502,5,0.1
194,1581,3,0.18
194,716,5,0.08
194,1725,9,0.19
194,1910,3,0.12
194,1577,2,0.07
194,126,6,0.06
194,1816,2,0.12
195,991,3,0.05
195,1797,1,0.08
195,1840,1,0.12
195,513,10,0.15
195,1056,2,0.08
195,644,10,0.03
195,1950,1,0.16
195,1182,6,0.05
195,816,2,0.09
195,635,1,0.15
196,377,6,0.02
196,1790,4,0.05
196,115,3,0.04
196,1578,3,0.01
196,712,1,0.18
196,361,9,0.04
196,1688,1,0.17
196,1244,4,0.01
196,1647,10,0.19
196,1393,5,0.18
197,76,9,0.04
198,555,1,0.04
198,200,5,0.18
198,1256,6,0.13
198,1606,7,0.15
198,1548,10,0.16
198,633,2,0.04
198,1282,7,0.0
199,993,7,0.2
199,1748,2,0.09
199,683,4,0.01
199,375,6,0.13
199,270,4,0.02
200,1721,4,0.05
200,114,1,0.17
200,1423,7,0.03
200,1882,4,0.09
200,1411,1,0.19
200,1460,4,0.16
201,989,2,0.11
201,1480,4,0.17
201,1655,8,0.02
201,1569,2,0.08
201,349,9,0.12
201,1295,2,0.12
202,16,1,0.1
202,1505,4,0.18
202,348,2,0.14
202,374,4,0.03
202,525,2,0.13
203,1644,2,0.08
203,1168,9,0.11
203,1339,2,0.04
203,1528,1,0.08
203,618,6,0.02
203,1516,9,0.07
203,1884,2,0.03
203,1806,1,0.13
204,1078,2,0.01
204,1671,7,0.05
204,557,10,0.16
204,664,9,0.16
204,867,4,0.07
204,344,6,0.13
204,1648,2,0.13
205,55,5,0.06
206,831,9,0.11
206,1023,6,0.05
206,1820,8,0.03
206,684,5,0.08
206,1981,8,0.06
207,975,9,0.1
207,1796,5,0.11
207,588,4,0.17
207,723,3,0.12
207,1962,6,0.01
207,376,1,0.2
207,1157,6,0.19
207,630,5,0.18
207,990,1,0.05
208,1797,1,0.16
208,1272,7,0.19
208,926,4,0.17
208,853,9,0.04
208,449,7,0.12
209,1563,5,0.07
210,420,8,0.18
210,240,5,0.19
210,1190,7,0.12
210,1957,4,0.17
210,1951,4,0.04
210,1966,4,0.0
210,97,10,0.1
211,1906,10,0.04
211,1320,3,0.02
211,432,1,0.12
211,1183,9,0.03
212,1370,4,0.08
212,925,6,0.07
212,141,9,0.06
212,263,1,0.18
212,269,3,0.12
212,516,3,0.03
212,238,5,0.04
212,1563,4,0.13
212,951,4,0.17
213,1889,2,0.06
213,1424,4,0.17
214,1845,1,0.03
214,829,1,0.1
214,147,6,0.17
214,984,9,0.15
214,756,3,0.03
214,1742,9,0.12
214,268,6,0.04
214,1642,2,0.01
215,821,2,0.02
215,1569,9,0.19
215,1567,7,0.05
215,1963,8,0.11
215,1057,7,0.11
215,1084,6,0.2
215,819,10,0.18
215,714,5,0.19
215,1066,6,0.06
216,844,3,0.11
216,1031,2,0.12
216,62,10,0.11
217,1028,8,0.14
217,839,1,0.1
217,1961,3,0.02
217,1779,8,0.1
217,1625,6,0.16
217,1003,1,0.03
217,1686,6,0.13
218,1685,3,0.03
218,1812,4,0.05
218,1097,1,0.07
218,1358,5,0.02
218,1718,1,0.08
218,424,4,0.18
219,1125,6,0.09
219,231,3,0.01
219,1725,7,0.12
220,1448,9,0.01
220,1669,6,0.05
220,1774,7,0.1
220,237,2,0.15
220,507,2,0.17
220,1282,5,0.01
220,1418,7,0.07
221,1795,6,0.17
221,227,10,0.14
221,1089,5,0.13
221,1234,7,0.04
222,1250,3,0.11
222,1880,8,0.09
222,1331,10,0.12
222,202,2,0.06
222,1480,8,0.06
223,1013,7,0.14
224,603,10,0.01
224,91,3,0.07
224,1451,4,0.1
224,1281,4,0.11
224,243,6,0.02
224,1990,6,0.12
224,1611,5,0.15
224,96,8,0.02
224,872,3,0.02
225,228,3,0.2
225,1229,5,0.16
226,1131,7,0.07
226,1593,8,0.13
226,978,5,0.01
226,833,8,0.12
226,173,1,0.04
226,1206,7,0.16
226,28,7,0.1
226,1557,3,0.15
226,49,1,0.1
227,732,8,0.1
227,706,6,0.07
227,987,4,0.02
227,1135,7,0.18
227,1274,5,0.03
227,1432,9,0.1
227,1635,1,0.18
227,1098,8,0.1
228,994,7,0.11
228,330,4,0.12
228,1087,5,0.05
229,1860,10,0.01
229,274,7,0.15
229,997,1,0.17
229,418,6,0.07
229,1920,1,0.02
229,1408,8,0.1
230,1138,9,0.17
230,422,2,0.06
230,1420,7,0.18
230,947,6,0.15
